classifier,model_type,follow_up,roc_auc
random_forest,slopes,120,0.9425675675675675
random_forest,slopes,108,0.9836711711711711
random_forest,slopes,96,0.9954954954954954
random_forest,slopes,84,0.9859234234234234
random_forest,slopes,72,0.9521396396396397
random_forest,slopes,60,0.9577702702702702
random_forest,slopes,48,0.911036036036036
random_forest,slopes,36,0.8935810810810811
random_forest,slopes,24,0.7117117117117118
random_forest,slopes,12,0.5945945945945945
random_forest,slopes+intercepts,120,0.9301801801801801
random_forest,slopes+intercepts,108,0.9746621621621622
random_forest,slopes+intercepts,96,0.9938063063063064
random_forest,slopes+intercepts,84,0.982545045045045
random_forest,slopes+intercepts,72,0.9341216216216217
random_forest,slopes+intercepts,60,0.9459459459459458
random_forest,slopes+intercepts,48,0.9161036036036037
random_forest,slopes+intercepts,36,0.8918918918918919
random_forest,slopes+intercepts,24,0.6976351351351351
random_forest,slopes+intercepts,12,0.5979729729729729
xgboost,slopes,120,0.9234234234234234
xgboost,slopes,108,0.9797297297297297
xgboost,slopes,96,0.990990990990991
xgboost,slopes,84,0.9825450450450451
xgboost,slopes,72,0.9634009009009008
xgboost,slopes,60,0.9650900900900902
xgboost,slopes,48,0.9172297297297297
xgboost,slopes,36,0.8840090090090089
xgboost,slopes,24,0.7038288288288288
xgboost,slopes,12,0.6182432432432432
xgboost,slopes+intercepts,120,0.9177927927927928
xgboost,slopes+intercepts,108,0.9707207207207207
xgboost,slopes+intercepts,96,0.9842342342342342
xgboost,slopes+intercepts,84,0.9735360360360361
xgboost,slopes+intercepts,72,0.9386261261261262
xgboost,slopes+intercepts,60,0.947072072072072
xgboost,slopes+intercepts,48,0.9121621621621622
xgboost,slopes+intercepts,36,0.8620495495495496
xgboost,slopes+intercepts,24,0.704954954954955
xgboost,slopes+intercepts,12,0.6373873873873873
logistic_regression,slopes,120,0.9166666666666666
logistic_regression,slopes,108,0.955518018018018
logistic_regression,slopes,96,0.9712837837837838
logistic_regression,slopes,84,0.9673423423423424
logistic_regression,slopes,72,0.9403153153153153
logistic_regression,slopes,60,0.9346846846846847
logistic_regression,slopes,48,0.9054054054054054
logistic_regression,slopes,36,0.7837837837837838
logistic_regression,slopes,24,0.5568693693693694
logistic_regression,slopes,12,0.5439189189189189
logistic_regression,slopes+intercepts,120,0.8079954954954954
logistic_regression,slopes+intercepts,108,0.8507882882882883
logistic_regression,slopes+intercepts,96,0.892454954954955
logistic_regression,slopes+intercepts,84,0.8744369369369369
logistic_regression,slopes+intercepts,72,0.8524774774774775
logistic_regression,slopes+intercepts,60,0.8457207207207207
logistic_regression,slopes+intercepts,48,0.8108108108108107
logistic_regression,slopes+intercepts,36,0.7652027027027026
logistic_regression,slopes+intercepts,24,0.5472972972972973
logistic_regression,slopes+intercepts,12,0.5123873873873874
