classifier,model_type,missingness,roc_auc
random_forest,slopes,0.3,0.9399883754722465
random_forest,slopes,0.4,0.945364719558268
random_forest,slopes,0.5,0.9423132810229585
random_forest,slopes,0.6,0.9376634699215345
random_forest,slopes,0.7,0.9033711130485325
random_forest,slopes,0.8,0.8420517291485035
random_forest,slopes,0.9,0.7361958732926475
random_forest,slopes+intercepts,0.3,0.9410055216506829
random_forest,slopes+intercepts,0.4,0.9431851206044755
random_forest,slopes+intercepts,0.5,0.943911653589073
random_forest,slopes+intercepts,0.6,0.9394071490845685
random_forest,slopes+intercepts,0.7,0.913978494623656
random_forest,slopes+intercepts,0.8,0.8567276954373729
random_forest,slopes+intercepts,0.9,0.7605347282766638
xgboost,slopes,0.3,0.916594013368207
xgboost,slopes,0.4,0.927637314734089
xgboost,slopes,0.5,0.9272013949433305
xgboost,slopes,0.6,0.9210985178727115
xgboost,slopes,0.7,0.8841906422551584
xgboost,slopes,0.8,0.7840743969776229
xgboost,slopes,0.9,0.7028480092996223
xgboost,slopes+intercepts,0.3,0.9203719848881139
xgboost,slopes+intercepts,0.4,0.9197907585004358
xgboost,slopes+intercepts,0.5,0.9203719848881139
xgboost,slopes+intercepts,0.6,0.9210985178727115
xgboost,slopes+intercepts,0.7,0.9161580935774483
xgboost,slopes+intercepts,0.8,0.8257773902935194
xgboost,slopes+intercepts,0.9,0.7461493751816332
logistic_regression,slopes,0.3,0.9562627143272304
logistic_regression,slopes,0.4,0.9427492008137169
logistic_regression,slopes,0.5,0.9388259226968905
logistic_regression,slopes,0.6,0.917756466143563
logistic_regression,slopes,0.7,0.8937808776518454
logistic_regression,slopes,0.8,0.8160418482999128
logistic_regression,slopes,0.9,0.6833042720139495
logistic_regression,slopes+intercepts,0.3,0.9585876198779424
logistic_regression,slopes+intercepts,0.4,0.9460912525428654
logistic_regression,slopes+intercepts,0.5,0.9379540831153735
logistic_regression,slopes+intercepts,0.6,0.9330136588201103
logistic_regression,slopes+intercepts,0.7,0.9013368206916594
logistic_regression,slopes+intercepts,0.8,0.8451031676838129
logistic_regression,slopes+intercepts,0.9,0.6698634117988957
