classifier,n_scores,added_score,scores,roc_auc
random_forest,1,UPDRS1,UPDRS1,0.8852359822509077
random_forest,2,UPDRS2,"UPDRS1,UPDRS2",0.9400968132311416
random_forest,3,LEDD,"UPDRS1,UPDRS2,LEDD",0.9490520371117386
random_forest,4,MOCA,"UPDRS1,UPDRS2,LEDD,MOCA",0.9520774505849132
random_forest,5,ESS,"UPDRS1,UPDRS2,LEDD,MOCA,ESS",0.9522388059701492
random_forest,6,UPDRS3_on,"UPDRS1,UPDRS2,LEDD,MOCA,ESS,UPDRS3_on",0.9539733763614361
random_forest,7,JLO,"UPDRS1,UPDRS2,LEDD,MOCA,ESS,UPDRS3_on,JLO",0.9519967728922952
random_forest,8,PIGD_off,"UPDRS1,UPDRS2,LEDD,MOCA,ESS,UPDRS3_on,JLO,PIGD_off",0.9540540540540542
random_forest,9,SEADL,"UPDRS1,UPDRS2,LEDD,MOCA,ESS,UPDRS3_on,JLO,PIGD_off,SEADL",0.9505445744251715
random_forest,10,VFT_sem_sum,"UPDRS1,UPDRS2,LEDD,MOCA,ESS,UPDRS3_on,JLO,PIGD_off,SEADL,VFT_sem_sum",0.9516337232755144
xgboost,1,UPDRS1,UPDRS1,0.8706534893102057
xgboost,2,UPDRS2,"UPDRS1,UPDRS2",0.9294473578055669
xgboost,3,ESS,"UPDRS1,UPDRS2,ESS",0.9414279951593385
xgboost,4,LEDD,"UPDRS1,UPDRS2,ESS,LEDD",0.9480032271077047
xgboost,5,MOCA,"UPDRS1,UPDRS2,ESS,LEDD,MOCA",0.9508672851956435
xgboost,6,SEADL,"UPDRS1,UPDRS2,ESS,LEDD,MOCA,SEADL",0.9566760790641388
xgboost,7,JLO,"UPDRS1,UPDRS2,ESS,LEDD,MOCA,SEADL,JLO",0.9611536910044373
xgboost,8,UPDRS3_off,"UPDRS1,UPDRS2,ESS,LEDD,MOCA,SEADL,JLO,UPDRS3_off",0.9598225090762404
xgboost,9,PIGD_on,"UPDRS1,UPDRS2,ESS,LEDD,MOCA,SEADL,JLO,UPDRS3_off,PIGD_on",0.9622428398547802
xgboost,10,UPDRS3_on,"UPDRS1,UPDRS2,ESS,LEDD,MOCA,SEADL,JLO,UPDRS3_off,PIGD_on,UPDRS3_on",0.9615570794675272
logistic_regression,1,UPDRS2,UPDRS2,0.9207543364259783
logistic_regression,2,UPDRS1,"UPDRS2,UPDRS1",0.9522791448164583
logistic_regression,3,ESS,"UPDRS2,UPDRS1,ESS",0.9529649052037111
logistic_regression,4,MOCA,"UPDRS2,UPDRS1,ESS,MOCA",0.9528035498184751
logistic_regression,5,UPDRS4,"UPDRS2,UPDRS1,ESS,MOCA,UPDRS4",0.9533279548204923
logistic_regression,6,SEADL,"UPDRS2,UPDRS1,ESS,MOCA,UPDRS4,SEADL",0.9528842275110931
logistic_regression,7,UPDRS3_off,"UPDRS2,UPDRS1,ESS,MOCA,UPDRS4,SEADL,UPDRS3_off",0.9536506655909641
logistic_regression,8,GDS,"UPDRS2,UPDRS1,ESS,MOCA,UPDRS4,SEADL,UPDRS3_off,GDS",0.9524808390480031
logistic_regression,9,JLO,"UPDRS2,UPDRS1,ESS,MOCA,UPDRS4,SEADL,UPDRS3_off,GDS,JLO",0.9513513513513514
logistic_regression,10,HVLT_DR,"UPDRS2,UPDRS1,ESS,MOCA,UPDRS4,SEADL,UPDRS3_off,GDS,JLO,HVLT_DR",0.9494150867285196
